name,RA,DEC,zlens
- | SDSSJ0946+1006 | J0946+1006 | SDSSJ0946+1006 | J0946+1006,146.73621,10.11467,0.2219 | 0.22193 | 0.222 | 0.222 | 0.222
J0956+5100 | J0956+5100 | - | SDSSJ0956+5100 | SDSSJ0956+5100,149.1241,51.00184,0.24 | 0.24 | 0.2405 | 0.24055 | 0.241
SDSSJ0959+0410 | SDSSJ0959+0410 | J0959+0410 | - | J0959+0410,149.93368,4.17139,0.12598 | 0.126 | 0.126 | 0.126 | 0.126
SDSSJ1020+1122 | J1020+1122 | J1020+1122 | SDSSJ1020+1122 | -,155.11053,11.37809,0.282 | 0.282 | 0.282 | 0.28219 | 0.2822
SDSSJ1023+4230 | J1023+4230 | J1023+4230 | SDSSJ1023+4230 | -,155.88446,42.50051,0.191 | 0.191 | 0.191 | 0.19114 | 0.1912
SDSSJ1100+5329 | J1100+5329 | J1100+5329 | - | SDSSJ1100+5329,165.10165,53.48719,0.317 | 0.317 | 0.317 | 0.3171 | 0.31712
SDSSJ1106+5228 | - | SDSSJ1106+5228 | J1106+5228 | J1106+5228,166.69222,52.47717,0.095 | 0.0955 | 0.09551 | 0.096 | 0.096
SDSSJ1112+0826 | SDSSJ1112+0826 | J1112+0826 | - | J1112+0826,168.21083,8.43622,0.27289 | 0.273 | 0.273 | 0.273 | 0.273
- | SDSSJ1134+6027 | J1134+6027 | SDSSJ1134+6027 | J1134+6027,173.52456,60.45375,0.1528 | 0.1528 | 0.153 | 0.153 | 0.153
- | SDSSJ1142+1001 | J1142+1001 | SDSSJ1142+1001 | J1142+1001,175.73888,10.01995,0.2218 | 0.22187 | 0.222 | 0.222 | 0.222
SDSSJ1153+4612 | - | J1153+4612 | SDSSJ1153+4612 | J1153+4612,178.29498,46.20147,0.17969 | 0.1797 | 0.18 | 0.18 | 0.18
SDSSJ1204+0358 | J1204+0358 | J1204+0358 | SDSSJ1204+0358 | -,181.18366,3.96844,0.164 | 0.164 | 0.164 | 0.16437 | 0.1644
SDSSJ1205+4910 | SDSSJ1205+4910 | J1205+4910 | - | J1205+4910,181.41842,49.17483,0.21498 | 0.215 | 0.215 | 0.215 | 0.215
SDSSJ1213+6708 | - | J1213+6708 | SDSSJ1213+6708 | J1213+6708,183.41914,67.14138,0.12285 | 0.1229 | 0.123 | 0.123 | 0.123
SDSSJ1218+0830 | - | J1218+0830 | J1218+0830 | SDSSJ1218+0830,184.61123,8.51398,0.135 | 0.135 | 0.135 | 0.135 | 0.13502
SDSSJ1250+0523 | - | J1250+0523 | SDSSJ1250+0523 | J1250+0523,192.61779,5.39697,0.23176 | 0.2318 | 0.232 | 0.232 | 0.232
SDSSJ1402+6321 | - | J1402+6321 | SDSSJ1402+6321 | J1402+6321,210.61754,63.35931,0.20456 | 0.2046 | 0.205 | 0.205 | 0.205
SDSSJ1416+5136 | - | J1416+5136 | SDSSJ1416+5136 | J1416+5136,214.09304,51.60845,0.29868 | 0.2987 | 0.299 | 0.299 | 0.299
SDSSJ1436-0000 | J1436-0000 | J1436-0000 | - | SDSSJ1436-0000,219.11466,-0.00811,0.285 | 0.285 | 0.285 | 0.2852 | 0.28521
SDSSJ1451-0239 | J1451-0239 | J1451-0239 | SDSSJ1451-0239 | -,222.86747,-2.66011,0.125 | 0.125 | 0.125 | 0.12533 | 0.1254
SDSSJ1525+3327 | J1525+3327 | J1525+3327 | SDSSJ1525+3327 | -,231.27792,33.46318,0.358 | 0.358 | 0.358 | 0.35829 | 0.3583
- | SDSSJ1531-0105 | J1531-0105 | SDSSJ1531-0105 | J1531-0105,232.95866,-1.09602,0.1596 | 0.15966 | 0.16 | 0.16 | 0.16
SDSSJ1538+5817 | - | J1538+5817 | SDSSJ1538+5817 | J1538+5817,234.55379,58.28606,0.14277 | 0.1428 | 0.143 | 0.143 | 0.143
SDSSJ1621+3931 | - | J1621+3931 | SDSSJ1621+3931 | J1621+3931,245.38747,39.52907,0.2448 | 0.2449 | 0.245 | 0.245 | 0.245
SDSSJ1627-0053 | - | J1627-0053 | SDSSJ1627-0053 | J1627-0053,246.9436,-0.89933,0.20758 | 0.2076 | 0.208 | 0.208 | 0.208
SDSSJ1630+4520 | - | J1630+4520 | SDSSJ1630+4520 | J1630+4520,247.61742,45.34342,0.24789 | 0.2479 | 0.248 | 0.248 | 0.248
SDSSJ1636+4707 | J1636+4707 | J1636+4707 | - | SDSSJ1636+4707,249.01087,47.12489,0.228 | 0.228 | 0.228 | 0.2282 | 0.2282
SDSSJ2238-0754 | J2238-0754 | J2238-0754 | SDSSJ2238-0754 | -,339.66709,-7.91556,0.137 | 0.137 | 0.137 | 0.137 | 0.1371
SDSSJ2300+0022 | J2300+0022 | J2300+0022 | SDSSJ2300+0022 | -,345.22152,0.37723,0.228 | 0.228 | 0.228 | 0.22847 | 0.2285
